,episode,total_reward,TD_error
0,0,118.72393295870762,0.0
1,1,76.2168436059576,0.0
2,2,71.03512822981307,0.0
3,3,-223.0291,-120.0120312
4,4,-204.25382,-120.01665119999998
5,5,-100.86115,-60.01645777812625
6,6,133.1749083800498,0.0
7,7,71.23173122232303,0.0
8,8,-128.39655,-60.03233639999999
9,9,-209.51667,-119.9882695517399
10,10,29.058725143685614,0.0
11,11,163.68664525270484,0.0
12,12,66.20559999933423,0.0
13,13,116.81760683813113,[]
14,14,-221.78650000000002,-119.98258664149398
15,15,-106.13681,-60.01801617208948
16,16,86.81551808135616,0.0
17,17,37.81583757513303,0.0
18,18,-237.9469,-120.11731799999998
19,19,94.13798857721694,0.0
20,20,105.40375073609027,0.0
21,21,-4.653355213914679,0.0
22,22,-136.89975,-59.55425878977008
23,23,100.89968041520052,0.0
24,24,98.22977592343304,0.0
25,25,-245.81625,-120.163332
26,26,113.4054663951157,0.0
27,27,-246.61281,-120.1232256
28,28,113.14793740285926,0.0
29,29,-131.20508,-59.813397946140164
30,30,-195.55721883707764,-120.0
31,31,43.26571808103056,0.0
32,32,41.59985831872128,0.0
33,33,120.21710028516645,0.0
34,34,-223.95791,-119.86626311113845
35,35,-134.19982000000002,-60.132568799999994
36,36,-148.35152880563516,-120.0
37,37,39.491993109135144,0.0
38,38,-11.674672053107862,0.0
39,39,-19.011664427491333,0.0
40,40,-160.23537,-60.0494014512
41,41,-205.92781000000002,-132.44689451557878
42,42,-109.56907759379499,[]
43,43,72.48649525925812,0.0
44,44,74.62782881840856,0.0
45,45,22.363688634033906,[]
46,46,144.90788808521745,0.0
47,47,-24.68301825627949,0.0
48,48,116.47474808632971,0.0
49,49,104.72598656345576,0.0
50,50,-167.53345000000002,-60.303684
51,51,84.22642511285713,0.0
52,52,66.57791057044739,0.0
53,53,111.79998981742041,0.0
54,54,-224.8672,-126.7118324316195
55,55,38.14722176313339,0.0
56,56,97.99905163251313,0.0
57,57,-273.29146000000003,-120.06965684256
58,58,-14.24879800778718,0.0
59,59,-222.95059999999998,-119.76572268559988
60,60,142.81426546804755,0.0
61,61,9.88648811296683,0.0
62,62,163.9179688366973,0.0
63,63,107.39409749467973,0.0
64,64,-277.60074000000003,-142.0700860543466
65,65,-26.773996173659093,0.0
66,66,45.18097595382518,0.0
67,67,107.51614211748567,0.0
68,68,-183.68975999999998,-59.50389887430479
69,69,115.62966658156327,0.0
70,70,-51.71759617598761,0.0
71,71,-272.44266000000005,-119.66146660405805
72,72,126.41482787427259,0.0
73,73,-1.5472668874206192,[]
74,74,57.245273912879625,[]
75,75,45.64410644385492,[]
76,76,94.40473239148889,0.0
77,77,59.972013042055536,0.0
78,78,-296.17550000000006,-120.27444359999998
79,79,62.25691492947358,0.0
80,80,78.87854228927984,0.0
81,81,85.43826661617844,0.0
82,82,-195.51123266059028,-120.0
83,83,109.31804190016325,0.0
84,84,37.50173976738374,0.0
85,85,11.695038728904272,0.0
86,86,-295.11895000000004,-120.20518360089024
87,87,-210.16322,-119.8461407123089
88,88,-209.40885,-118.42011439272773
89,89,3.09208272255475,0.0
90,90,-75.36934601900388,0.0
91,91,36.91083003642616,0.0
92,92,-73.58604684210447,0.0
93,93,78.26160415105004,0.0
94,94,10.566474948971987,0.0
95,95,131.88056589394455,0.0
96,96,72.96984805236224,0.0
97,97,25.393901733831214,0.0
98,98,-130.5732,-60.33006545074884
99,99,-209.65325,-120.32881209560027
100,100,-290.05649999999997,-120.11764960608
101,101,-3.863082047068687,0.0
102,102,-4.050263969947366,0.0
103,103,93.72534756891935,0.0
104,104,-176.92092000000002,-59.395600852693086
105,105,13.990399621837213,0.0
106,106,17.18323473447768,0.0
107,107,-214.04595,-60.55633396037875
108,108,-109.46035,[]
109,109,14.363707869526955,0.0
110,110,-133.96577,-60.171932439291844
111,111,-22.390649659143776,0.0
112,112,96.28920536162843,0.0
113,113,6.014679106518969,0.0
114,114,30.194324549802644,0.0
115,115,-3.2139557023938465,0.0
116,116,-155.2315,-58.74495696937043
117,117,-305.0709,-120.4113252
118,118,19.540600404539205,0.0
119,119,58.80442830351899,[]
120,120,-129.35132,-60.139379046169125
121,121,-115.28722,-60.59650013454117
122,122,56.15523758006933,0.0
123,123,52.735324178476674,0.0
124,124,-55.67631279589824,0.0
125,125,-16.46008381263647,0.0
126,126,148.05004855737562,0.0
127,127,33.341900544624465,0.0
128,128,149.61060241566696,0.0
129,129,90.90952525765789,0.0
130,130,-3.6214211591577765,0.0
131,131,-336.4862600000001,-120.45599640000002
132,132,-38.15384818972936,0.0
133,133,174.81715140423708,0.0
134,134,-12.340033722079767,0.0
135,135,-340.37734,-120.77690399999999
136,136,-90.99613229095117,0.0
137,137,-154.1245975898275,0.0
138,138,-237.28792,-119.43994730170587
139,139,9.393227305884466,0.0
140,140,-121.33701,-60.802206
141,141,13.548294773816963,0.0
142,142,-249.66,[]
143,143,-187.2485240364306,-120.0
144,144,142.31280002127573,0.0
145,145,-68.53352621581385,0.0
146,146,-347.47749999999996,-120.83164799999999
147,147,-1.1059091178325389,0.0
148,148,-139.64431,-60.05326292942112
149,149,7.577384869547341,0.0
150,150,-129.94014,-60.12490691316523
151,151,-162.64713539528117,[]
152,152,-78.6365940728164,0.0
153,153,-126.60341909157671,0.0
154,154,35.49739738354881,0.0
155,155,-125.81790039917573,0.0
156,156,-12.753216582436103,0.0
157,157,83.14526206396901,0.0
158,158,-33.33002686312548,0.0
159,159,-135.08245,-60.503644328973586
160,160,-236.93635000000003,-60.17175255566823
161,161,20.56694201946246,0.0
162,162,92.37359853319657,0.0
163,163,-87.76344363546895,0.0
164,164,145.91384145068864,0.0
165,165,-132.50596000000002,-61.28164380067524
166,166,106.97111897256505,0.0
167,167,-17.630262027561756,0.0
168,168,-156.5746,-57.844620863975564
169,169,-141.55931,-56.33368916687927
170,170,-219.32258000000002,-116.36827345195809
171,171,-97.5176603318551,-120.0
172,172,140.18920123876717,0.0
173,173,123.9089662473995,0.0
174,174,-374.17447000000004,-118.74938570796608
175,175,157.86847807745457,0.0
176,176,27.70743199526069,0.0
177,177,-121.68612,-61.01167260694978
178,178,-244.00617,-119.92122831742559
179,179,-12.013838465559445,0.0
180,180,85.47114980182204,0.0
181,181,-156.67353416938076,0.0
182,182,-115.68047573422501,0.0
183,183,76.76151635748134,0.0
184,184,-3.625517195271982,0.0
185,185,84.9624383094937,0.0
186,186,-23.477233380701833,0.0
187,187,-237.76784999999998,-119.82110308282192
188,188,98.3790405549162,0.0
189,189,-221.78932,-121.07359209294671
190,190,-107.62122256254291,0.0
191,191,-156.89617445155392,0.0
192,192,-221.82545,-121.09526999999999
193,193,0.4223006958548581,0.0
194,194,-391.33204000000006,-120.66340319999999
195,195,-114.95443481116016,0.0
196,196,-20.462167393410084,0.0
197,197,-113.79162549422406,[]
198,198,-133.13116,-59.57928187156045
199,199,-209.39655000000002,-138.03044223504975
